ID|COD_SKU_SAP|UND_ORDEN|FECHA
38|377|113|1/05/2018
38|377|162|1/06/2018
38|377|99|1/07/2018
38|377|133|1/08/2018
38|377|90|1/09/2018
38|377|93|1/10/2018
38|377|67|1/11/2018
38|377|62|1/12/2018
38|377|61|1/01/2019
38|377|47|1/02/2019
38|377|64|1/03/2019
38|377|36|1/04/2019
38|377|60|1/05/2019
38|377|45|1/06/2019
38|377|39|1/07/2019
38|377|42|1/08/2019
38|377|38|1/09/2019
38|377|47|1/10/2019
38|377|46|1/11/2019
38|377|36|1/12/2019
38|377|60|1/01/2020
38|377|46|1/02/2020
38|377|37|1/03/2020
38|377|38|1/04/2020
38|377|44|1/05/2020
38|377|32|1/06/2020
38|377|31|1/07/2020
38|377|41|1/08/2020
38|377|50|1/09/2020
38|377|58|1/10/2020
38|377|52|1/11/2020
38|377|53|1/12/2020
38|377|79|1/01/2021
38|377|63|1/02/2021
38|377|78|1/03/2021
38|377|66|1/04/2021
38|377|78|1/05/2021
38|377|83|1/06/2021
38|377|85|1/07/2021
38|377|87|1/08/2021
38|377|94|1/09/2021
38|377|75|1/10/2021
38|377|92|1/11/2021
38|377|74|1/12/2021
38|377|112|1/01/2022
38|377|79|1/02/2022
38|377|117|1/03/2022
38|377|103|1/04/2022
38|377|126|1/05/2022
38|377|104|1/06/2022
38|377|131|1/07/2022
38|377|155|1/08/2022
38|377|179|1/09/2022
38|377|147|1/10/2022
38|377|144|1/11/2022
38|377|137|1/12/2022
38|377|147|1/01/2023
38|377|139|1/02/2023
38|377|159|1/03/2023
38|377|126|1/04/2023
38|377|127|1/05/2023
38|377|147|1/06/2023
38|377|131|1/07/2023
40|389|60|1/01/2018
40|389|64|1/02/2018
40|389|63|1/03/2018
40|389|47|1/04/2018
40|389|61|1/05/2018
40|389|94|1/06/2018
40|389|52|1/07/2018
40|389|57|1/08/2018
40|389|65|1/09/2018
40|389|75|1/10/2018
40|389|65|1/11/2018
40|389|73|1/12/2018
40|389|79|1/01/2019
40|389|90|1/02/2019
40|389|95|1/03/2019
40|389|79|1/04/2019
40|389|65|1/05/2019
40|389|73|1/06/2019
40|389|71|1/07/2019
40|389|61|1/08/2019
40|389|61|1/09/2019
40|389|87|1/10/2019
40|389|94|1/11/2019
40|389|67|1/12/2019
40|389|69|1/01/2020
40|389|74|1/02/2020
40|389|77|1/03/2020
40|389|76|1/04/2020
40|389|69|1/05/2020
40|389|80|1/06/2020
40|389|69|1/07/2020
40|389|73|1/08/2020
40|389|53|1/09/2020
40|389|64|1/10/2020
40|389|63|1/11/2020
40|389|64|1/12/2020
40|389|62|1/01/2021
40|389|70|1/02/2021
40|389|103|1/03/2021
40|389|76|1/04/2021
40|389|78|1/05/2021
40|389|83|1/06/2021
40|389|70|1/07/2021
40|389|84|1/08/2021
40|389|77|1/09/2021
40|389|91|1/10/2021
40|389|119|1/11/2021
40|389|88|1/12/2021
40|389|97|1/01/2022
40|389|77|1/02/2022
